date,time,close
08-12-2016,09:30:00,8194.09961
08-12-2016,10:30:00,8217.2998
08-12-2016,11:30:00,8207.90039
08-12-2016,12:30:00,8222.5
08-12-2016,13:30:00,8235.09961
08-12-2016,14:30:00,8244.15039
08-12-2016,15:30:00,8242.9502
09-12-2016,09:30:00,8262.5498
09-12-2016,10:30:00,8254.5498
09-12-2016,11:30:00,8258.90039
09-12-2016,12:30:00,8261.09961
09-12-2016,13:30:00,8252.84961
09-12-2016,14:30:00,8260
09-12-2016,15:30:00,8255.34961
12-12-2016,09:30:00,8217.2002
12-12-2016,10:30:00,8206.2002
12-12-2016,11:30:00,8198.25
12-12-2016,12:30:00,8210.7002
12-12-2016,13:30:00,8200.2002
12-12-2016,14:30:00,8176.8999
12-12-2016,15:30:00,8171.6001
13-12-2016,09:30:00,8168.7002
13-12-2016,10:30:00,8177.4502
13-12-2016,11:30:00,8181.3501
13-12-2016,12:30:00,8185.6499
13-12-2016,13:30:00,8180.25
13-12-2016,14:30:00,8207.65039
13-12-2016,15:30:00,8212.7998
14-12-2016,09:30:00,8209.25
14-12-2016,10:30:00,8203.40039
14-12-2016,11:30:00,8203.9502
14-12-2016,12:30:00,8201.84961
14-12-2016,13:30:00,8185.6499
14-12-2016,14:30:00,8210.75
14-12-2016,15:30:00,8182.7998
15-12-2016,09:30:00,8178.3501
15-12-2016,10:30:00,8216.09961
15-12-2016,11:30:00,8175.3501
15-12-2016,12:30:00,8177.1499
15-12-2016,13:30:00,8179.7002
15-12-2016,14:30:00,8183.3501
15-12-2016,15:30:00,8154.6499
16-12-2016,09:30:00,8145.7002
16-12-2016,10:30:00,8137.3999
16-12-2016,11:30:00,8136
16-12-2016,12:30:00,8135.2002
16-12-2016,13:30:00,8141.5498
16-12-2016,14:30:00,8150.1499
16-12-2016,15:30:00,8139.5498
19-12-2016,09:30:00,8119.7998
19-12-2016,10:30:00,8117.0498
19-12-2016,11:30:00,8124
19-12-2016,12:30:00,8121.8999
19-12-2016,13:30:00,8119.5
19-12-2016,14:30:00,8124.0498
19-12-2016,15:30:00,8101.4502
20-12-2016,09:30:00,8119.7998
20-12-2016,10:30:00,8107.75
20-12-2016,11:30:00,8092.25
20-12-2016,12:30:00,8083.4502
20-12-2016,13:30:00,8075
20-12-2016,14:30:00,8084
20-12-2016,15:30:00,8090.5498
21-12-2016,09:30:00,8078.2002
21-12-2016,10:30:00,8093.2002
21-12-2016,11:30:00,8091.25
21-12-2016,12:30:00,8098.2002
21-12-2016,13:30:00,8101.1001
21-12-2016,14:30:00,8102.5
21-12-2016,15:30:00,8056.1001
22-12-2016,09:30:00,8029.25
22-12-2016,10:30:00,8003.5
22-12-2016,11:30:00,7989.3999
22-12-2016,12:30:00,7984.8501
22-12-2016,13:30:00,7968.5
22-12-2016,14:30:00,7976.7002
22-12-2016,15:30:00,7987.2002
23-12-2016,09:30:00,7984.25
23-12-2016,10:30:00,7945.7002
23-12-2016,11:30:00,7972.0498
23-12-2016,12:30:00,7982.1001
23-12-2016,13:30:00,8017.8501
23-12-2016,14:30:00,7991.1001
23-12-2016,15:30:00,7989.8501
26-12-2016,09:30:00,7928.5498
26-12-2016,10:30:00,7917.6499
26-12-2016,11:30:00,7912.7002
26-12-2016,12:30:00,7903.6499
26-12-2016,13:30:00,7933.3999
26-12-2016,14:30:00,7927.3999
26-12-2016,15:30:00,7912.4502
27-12-2016,09:30:00,7916.2998
27-12-2016,10:30:00,7941.2998
27-12-2016,11:30:00,7944.6001
27-12-2016,12:30:00,7949.2998
27-12-2016,13:30:00,7950.75
27-12-2016,14:30:00,7973.8501
27-12-2016,15:30:00,8030.8999
28-12-2016,09:30:00,8050.3501
28-12-2016,10:30:00,8064.5
28-12-2016,11:30:00,8060.9502
28-12-2016,12:30:00,8078.3501
28-12-2016,13:30:00,8092.1499
28-12-2016,14:30:00,8061.5
28-12-2016,15:30:00,8036.75
29-12-2016,09:30:00,8053.25
29-12-2016,10:30:00,8048.2998
29-12-2016,11:30:00,8047.4502
29-12-2016,12:30:00,8054.2998
29-12-2016,13:30:00,8051.7002
29-12-2016,14:30:00,8066.2998
29-12-2016,15:30:00,8105.1001
30-12-2016,09:30:00,8145.5498
30-12-2016,10:30:00,8157.8501
