date,daily_mtm_per_lot,slippage,Portdolio
27-07-2016,532.5,-300,"? 13,87,063.75"
28-07-2016,1500,-300,"? 13,88,263.75"
29-07-2016,-2118.75,-300,"? 13,85,845.00"
01-08-2016,2568.75,-300,"? 13,88,113.75"
02-08-2016,1016.25,-300,"? 13,88,830.00"
03-08-2016,2178.75,-300,"? 13,90,708.75"
04-08-2016,-2902.5,-300,"? 13,87,506.25"
05-08-2016,3952.5,-300,"? 13,91,158.75"
08-08-2016,266.25,-300,"? 13,91,125.00"
09-08-2016,1383.75,-300,"? 13,92,208.75"
10-08-2016,3472.5,-300,"? 13,95,381.25"
11-08-2016,-3517.5,-300,"? 13,91,563.75"
12-08-2016,-495,-300,"? 13,90,768.75"
16-08-2016,873.75,-300,"? 13,91,342.50"
17-08-2016,-993.75,-300,"? 13,90,048.75"
18-08-2016,225,-300,"? 13,89,973.75"
19-08-2016,217.5,-300,"? 13,89,891.25"
22-08-2016,930,-300,"? 13,90,521.25"
23-08-2016,-1612.5,-300,"? 13,88,608.75"
24-08-2016,-1803.75,-300,"? 13,86,505.00"
25-08-2016,6067.5,-300,"? 13,92,272.50"
26-08-2016,487.5,-300,"? 13,92,460.00"
29-08-2016,3288.75,-300,"? 13,95,448.75"
30-08-2016,5538.75,-300,"? 14,00,687.50"
31-08-2016,-1166.25,-300,"? 13,99,221.25"
01-09-2016,-4087.5,-300,"? 13,94,833.75"
02-09-2016,-667.5,-300,"? 13,93,866.25"
06-09-2016,4331.25,-300,"? 13,97,897.50"
07-09-2016,285,-300,"? 13,97,882.50"
08-09-2016,2767.5,-300,"? 14,00,350.00"
09-09-2016,483.75,-300,"? 14,00,533.75"
12-09-2016,0,-300,"? 14,00,233.75"
14-09-2016,-2160,-300,"? 13,97,773.75"
15-09-2016,-1245,-300,"? 13,96,228.75"
16-09-2016,-1128.75,-300,"? 13,94,800.00"
19-09-2016,-225,-300,"? 13,94,275.00"
20-09-2016,-528.75,-300,"? 13,93,446.25"
21-09-2016,-1863.75,-300,"? 13,91,282.50"
22-09-2016,131.25,-300,"? 13,91,113.75"
23-09-2016,570,-300,"? 13,91,383.75"
26-09-2016,4852.5,-300,"? 13,95,936.25"
27-09-2016,1968.75,-300,"? 13,97,605.00"
28-09-2016,1308.75,-300,"? 13,98,613.75"
29-09-2016,12761.25,-300,"? 14,11,075.00"
30-09-2016,191.25,-300,"? 14,10,966.25"
03-10-2016,2846.25,-300,"? 14,13,512.50"
04-10-2016,-2130,-300,"? 14,11,082.50"
05-10-2016,1162.5,-300,"? 14,11,945.00"
06-10-2016,1398.75,-300,"? 14,13,043.75"
07-10-2016,-960,-300,"? 14,11,783.75"
10-10-2016,-243.75,-300,"? 14,11,240.00"
13-10-2016,4275,-300,"? 14,15,215.00"
14-10-2016,-888.75,-300,"? 14,14,026.25"
17-10-2016,3656.25,-300,"? 14,17,382.50"
18-10-2016,6378.75,-300,"? 14,23,461.25"
19-10-2016,-3060,-300,"? 14,20,101.25"
20-10-2016,-555,-300,"? 14,19,246.25"
21-10-2016,-345,-300,"? 14,18,601.25"
24-10-2016,-540,-300,"? 14,17,761.25"
25-10-2016,0,-300,"? 14,17,461.25"
26-10-2016,637.5,-300,"? 14,17,798.75"
27-10-2016,90,-300,"? 14,17,588.75"
28-10-2016,1117.5,-300,"? 14,18,406.25"
01-11-2016,-2137.5,-300,"? 14,15,968.75"
02-11-2016,-3187.5,-300,"? 14,12,481.25"
03-11-2016,-337.5,-300,"? 14,11,843.75"
04-11-2016,1485,-300,"? 14,13,028.75"
07-11-2016,71.25,-300,"? 14,12,800.00"
08-11-2016,-258.75,-300,"? 14,12,241.25"
09-11-2016,9228.75,-300,"? 14,21,170.00"
10-11-2016,-3071.25,-300,"? 14,17,798.75"
11-11-2016,5700,-300,"? 14,23,198.75"
15-11-2016,3472.5,-300,"? 14,26,371.25"
16-11-2016,540,-300,"? 14,26,611.25"
17-11-2016,600,-300,"? 14,26,911.25"
18-11-2016,-1121.25,-300,"? 14,25,490.00"
21-11-2016,5512.5,-300,"? 14,30,702.50"
22-11-2016,-4567.5,-300,"? 14,25,835.00"
23-11-2016,-3037.5,-300,"? 14,22,497.50"
24-11-2016,-1578.75,-300,"? 14,20,618.75"
25-11-2016,5778.75,-300,"? 14,26,097.50"
28-11-2016,828.75,-300,"? 14,26,626.25"
29-11-2016,-3570,-300,"? 14,22,756.25"
30-11-2016,2250,-300,"? 14,24,706.25"
01-12-2016,1252.5,-300,"? 14,25,658.75"
02-12-2016,-757.5,-300,"? 14,24,601.25"
05-12-2016,615,-300,"? 14,24,916.25"
06-12-2016,-3408.75,-300,"? 14,21,207.50"
07-12-2016,5640,-300,"? 14,26,547.50"
08-12-2016,1668.75,-300,"? 14,27,916.25"
09-12-2016,-292.5,-300,"? 14,27,323.75"
12-12-2016,1747.5,-300,"? 14,28,771.25"
13-12-2016,2775,-300,"? 14,31,246.25"
14-12-2016,-1110,-300,"? 14,29,836.25"
15-12-2016,-5167.5,-300,"? 14,24,368.75"
16-12-2016,-341.25,-300,"? 14,23,727.50"
19-12-2016,-491.25,-300,"? 14,22,936.25"
20-12-2016,1635,-300,"? 14,24,271.25"
21-12-2016,-78.75,-300,"? 14,23,892.50"
22-12-2016,1267.5,-300,"? 14,24,860.00"
23-12-2016,502.5,-300,"? 14,25,062.50"
26-12-2016,0,-300,"? 14,24,762.50"
27-12-2016,7170,-300,"? 14,31,632.50"
28-12-2016,-2651.25,-300,"? 14,28,681.25"
29-12-2016,3930,-300,"? 14,32,311.25"
30-12-2016,918.75,-300,"? 14,32,930.00"
02-01-2017,-2373.75,-300,"? 14,30,256.25"
03-01-2017,75,-300,"? 14,30,031.25"
04-01-2017,30,-300,"? 14,29,761.25"
05-01-2017,1533.75,-300,"? 14,30,995.00"
06-01-2017,2523.75,-300,"? 14,33,218.75"
09-01-2017,337.5,-300,"? 14,33,256.25"
10-01-2017,240,-300,"? 14,33,196.25"
11-01-2017,2261.25,-300,"? 14,35,157.50"
12-01-2017,0,-300,"? 14,34,857.50"
13-01-2017,-877.5,-300,"? 14,33,680.00"
